detector_type,descriptor_type,frame,no_keypoints_frame,no_keypoints_roi,detector_time_ms,descriptor_time_ms,no_matched_points,matching_time_ms
SHITOMASI,BRISK,0,1370,125,23.65166300,4.02302400,0,0.00000000
SHITOMASI,BRISK,1,1301,118,6.18703700,1.01823400,95,0.21957300
SHITOMASI,BRISK,2,1361,123,6.28647100,1.05407300,88,0.15932800
SHITOMASI,BRISK,3,1358,120,5.87465100,1.13636500,80,0.20035500
SHITOMASI,BRISK,4,1333,120,5.91533600,1.03483600,90,0.18293000
SHITOMASI,BRISK,5,1284,113,5.83228900,0.97899500,82,0.17295500
SHITOMASI,BRISK,6,1322,114,5.89325400,0.99457000,79,0.15988900
SHITOMASI,BRISK,7,1366,123,5.91526800,1.05678000,85,0.16704200
SHITOMASI,BRISK,8,1389,111,6.20858700,1.00350000,86,0.16849600
SHITOMASI,BRISK,9,1339,112,6.63693000,0.98966600,82,0.22298300

SHITOMASI,BRIEF,0,1370,125,5.96462000,0.45998300,0,0.00000000
SHITOMASI,BRIEF,1,1301,118,5.87798000,0.40314400,115,0.16404200
SHITOMASI,BRIEF,2,1361,123,6.04437400,0.32518200,111,0.15538900
SHITOMASI,BRIEF,3,1358,120,5.90864500,0.42511600,104,0.15635200
SHITOMASI,BRIEF,4,1333,120,6.19189900,0.36166800,101,0.15310100
SHITOMASI,BRIEF,5,1284,113,5.89114500,0.35299900,102,0.15095900
SHITOMASI,BRIEF,6,1322,114,6.08368000,0.35205100,102,0.15294800
SHITOMASI,BRIEF,7,1366,123,6.12412300,0.36538700,100,0.16665900
SHITOMASI,BRIEF,8,1389,111,5.97513600,0.35179600,109,0.15309600
SHITOMASI,BRIEF,9,1339,112,6.04626200,0.34902600,100,0.14538800

SHITOMASI,ORB,0,1370,125,6.21125800,3.74384400,0,0.00000000
SHITOMASI,ORB,1,1301,118,5.81967700,1.71789400,104,0.18284700
SHITOMASI,ORB,2,1361,123,6.29094300,1.74298700,103,0.18470800
SHITOMASI,ORB,3,1358,120,5.92833800,1.73948900,100,0.16126000
SHITOMASI,ORB,4,1333,120,5.85034100,1.71832300,102,0.18242800
SHITOMASI,ORB,5,1284,113,5.98378300,1.75223900,103,0.17028700
SHITOMASI,ORB,6,1322,114,5.86661200,1.78788800,98,0.14937100
SHITOMASI,ORB,7,1366,123,5.92782700,1.85018900,98,0.15976300
SHITOMASI,ORB,8,1389,111,6.05446700,1.73314900,102,0.19804500
SHITOMASI,ORB,9,1339,112,6.31290300,1.71112400,97,0.19198400

SHITOMASI,FREAK,0,1370,125,6.04636500,19.86769600,0,0.00000000
SHITOMASI,FREAK,1,1301,118,6.30516200,16.71500600,86,0.18146600
SHITOMASI,FREAK,2,1361,123,6.07844100,16.90439900,90,0.18074800
SHITOMASI,FREAK,3,1358,120,5.86742200,16.89742200,86,0.14723600
SHITOMASI,FREAK,4,1333,120,6.00284700,16.29639500,88,0.16111800
SHITOMASI,FREAK,5,1284,113,6.01557400,16.52512300,86,0.18197000
SHITOMASI,FREAK,6,1322,114,5.76696600,16.69767600,80,0.15668500
SHITOMASI,FREAK,7,1366,123,5.94210700,16.66604100,81,0.17749300
SHITOMASI,FREAK,8,1389,111,6.34779300,16.69143200,86,0.21279000
SHITOMASI,FREAK,9,1339,112,5.80662200,16.78683500,85,0.16536200

SHITOMASI,AKAZE,0,0,0,0.00000000,0.00000000,0,0.00000000
SHITOMASI,AKAZE,1,0,0,0.00000000,0.00000000,0,0.00000000
SHITOMASI,AKAZE,2,0,0,0.00000000,0.00000000,0,0.00000000
SHITOMASI,AKAZE,3,0,0,0.00000000,0.00000000,0,0.00000000
SHITOMASI,AKAZE,4,0,0,0.00000000,0.00000000,0,0.00000000
SHITOMASI,AKAZE,5,0,0,0.00000000,0.00000000,0,0.00000000
SHITOMASI,AKAZE,6,0,0,0.00000000,0.00000000,0,0.00000000
SHITOMASI,AKAZE,7,0,0,0.00000000,0.00000000,0,0.00000000
SHITOMASI,AKAZE,8,0,0,0.00000000,0.00000000,0,0.00000000
SHITOMASI,AKAZE,9,0,0,0.00000000,0.00000000,0,0.00000000

SHITOMASI,SIFT,0,1370,125,6.19874900,14.55643200,0,0.00000000
SHITOMASI,SIFT,1,1301,118,8.92514100,7.95824600,112,0.21593800
SHITOMASI,SIFT,2,1361,123,8.59224300,7.87338000,109,0.20610700
SHITOMASI,SIFT,3,1358,120,8.67785200,7.90985700,104,0.27670600
SHITOMASI,SIFT,4,1333,120,8.54606400,8.16531800,103,0.21791300
SHITOMASI,SIFT,5,1284,113,8.68776200,7.79724200,99,0.18584600
SHITOMASI,SIFT,6,1322,114,8.81330600,8.10668700,101,0.17999300
SHITOMASI,SIFT,7,1366,123,8.38884700,7.97321300,96,0.18976600
SHITOMASI,SIFT,8,1389,111,8.61803800,7.86658500,106,0.20425600
SHITOMASI,SIFT,9,1339,112,8.88488000,7.89479900,97,0.17986100

HARRIS,BRISK,0,115,17,9.80339700,0.30337500,0,0.00000000
HARRIS,BRISK,1,98,14,7.35699500,0.25022300,12,0.06990000
HARRIS,BRISK,2,113,18,7.32314000,0.28026100,10,0.06884900
HARRIS,BRISK,3,121,21,6.89896600,0.30507200,14,0.07176500
HARRIS,BRISK,4,160,26,7.39960900,0.34473600,15,0.07721600
HARRIS,BRISK,5,383,43,17.53266400,0.48798300,16,0.10033300
HARRIS,BRISK,6,85,18,6.56862200,0.28123700,16,0.08506800
HARRIS,BRISK,7,210,31,8.52344100,0.37602200,15,0.07528500
HARRIS,BRISK,8,171,26,7.53676500,0.33855500,23,0.08302900
HARRIS,BRISK,9,281,34,11.15050000,0.41982200,21,0.08324400

HARRIS,BRIEF,0,115,17,6.88803600,0.26623900,0,0.00000000
HARRIS,BRIEF,1,98,14,7.08984500,0.23541200,14,0.07719300
HARRIS,BRIEF,2,113,18,7.27761900,0.27350800,11,0.07073400
HARRIS,BRIEF,3,121,21,7.03800900,0.24326400,15,0.06990300
HARRIS,BRIEF,4,160,26,7.34762900,0.25069600,20,0.07189200
HARRIS,BRIEF,5,383,43,17.95150700,0.25291700,24,0.08135000
HARRIS,BRIEF,6,85,18,6.87873900,0.22900300,26,0.07684600
HARRIS,BRIEF,7,210,31,8.78502900,0.26275500,16,0.09299400
HARRIS,BRIEF,8,171,26,7.77973400,0.17456300,24,0.07832800
HARRIS,BRIEF,9,281,34,11.34428000,0.31470100,23,0.08345700

HARRIS,ORB,0,115,17,6.86319100,2.05064100,0,0.00000000
HARRIS,ORB,1,98,14,6.83542400,1.64217700,12,0.07224500
HARRIS,ORB,2,113,18,7.33900500,1.68662200,13,0.05966500
HARRIS,ORB,3,121,21,6.97853500,1.63739100,16,0.06396100
HARRIS,ORB,4,160,26,7.92701000,1.63424600,18,0.07258200
HARRIS,ORB,5,383,43,17.73578200,1.80394500,24,0.07371100
HARRIS,ORB,6,85,18,6.85324800,1.71126300,18,0.07816900
HARRIS,ORB,7,210,31,10.20266000,1.63913300,15,0.06929900
HARRIS,ORB,8,171,26,7.74879300,1.63574600,24,0.08335400
HARRIS,ORB,9,281,34,11.47505900,1.68810800,20,0.07403500

HARRIS,FREAK,0,115,17,7.15895300,19.25280700,0,0.00000000
HARRIS,FREAK,1,98,14,6.96651000,16.37609800,13,0.07178300
HARRIS,FREAK,2,113,18,6.89152100,15.62078900,13,0.06743900
HARRIS,FREAK,3,121,21,7.13988000,16.29443600,15,0.07597200
HARRIS,FREAK,4,160,26,7.41954500,16.39583500,15,0.09823200
HARRIS,FREAK,5,383,43,17.58210600,16.24107900,17,0.07807200
HARRIS,FREAK,6,85,18,6.77010400,15.97704300,20,0.07746800
HARRIS,FREAK,7,210,31,8.65076800,16.35400300,12,0.07231700
HARRIS,FREAK,8,171,26,7.55551500,16.28601900,21,0.07607600
HARRIS,FREAK,9,281,34,11.34275600,16.02953400,18,0.07937200

HARRIS,AKAZE,0,0,0,0.00000000,0.00000000,0,0.00000000
HARRIS,AKAZE,1,0,0,0.00000000,0.00000000,0,0.00000000
HARRIS,AKAZE,2,0,0,0.00000000,0.00000000,0,0.00000000
HARRIS,AKAZE,3,0,0,0.00000000,0.00000000,0,0.00000000
HARRIS,AKAZE,4,0,0,0.00000000,0.00000000,0,0.00000000
