detector_type,descriptor_type,frame,no_keypoints_frame,detector_time_ms,descriptor_time_ms,no_matched_points,matching_time_ms,ttc_lidar_s,ttc_camera_s
SHITOMASI,BRISK,0,1723,8.47116500,12.47195900,0,0.00000000,0.00000000,0.00000000
SHITOMASI,BRISK,1,1759,7.98462300,12.71216700,797,9.20488600,12.29943227,12.95897117
SHITOMASI,BRISK,2,1820,8.10225400,12.84645600,779,9.60166900,12.98777737,12.41878346
SHITOMASI,BRISK,3,1850,8.31989500,13.35042300,843,10.14819100,17.26938871,12.75023759
SHITOMASI,BRISK,4,1828,7.73890100,13.04778200,792,10.18502100,13.79866612,13.32998937
SHITOMASI,BRISK,5,1806,7.69351900,12.65554900,817,9.86272900,12.85564709,12.52653591
SHITOMASI,BRISK,6,1877,7.71509500,13.09926800,805,9.85974300,13.34054193,13.52656863
SHITOMASI,BRISK,7,1894,7.74995000,13.35506700,780,10.24836800,14.45731022,13.92219179
SHITOMASI,BRISK,8,1889,7.21440100,13.23856400,850,10.53488100,13.13016586,12.06711006
SHITOMASI,BRISK,9,1917,8.00589400,13.48228800,842,10.41987700,12.34545830,11.99092075
SHITOMASI,BRISK,10,1874,7.75268600,13.05532000,832,10.38944900,12.14960324,12.41311786
SHITOMASI,BRISK,11,1912,7.72788900,13.41367300,857,10.53046100,11.54790781,11.20355563
SHITOMASI,BRISK,12,1930,7.74407800,13.48411400,849,11.21832300,10.07826007,12.49174447
SHITOMASI,BRISK,13,1881,7.77114800,13.49190000,884,10.59556000,9.20565887,13.05232492
SHITOMASI,BRISK,14,1886,7.68113900,13.19653800,889,10.57629600,9.54236248,12.56255689
SHITOMASI,BRISK,15,1957,7.62220500,14.07255500,906,11.13945500,8.39156690,12.32915027
SHITOMASI,BRISK,16,1888,7.77949200,13.32867000,878,11.00659700,8.88653053,10.54259847
SHITOMASI,BRISK,17,1919,8.06911700,13.80643100,914,10.82667100,11.04299793,12.14025135

SHITOMASI,BRIEF,0,1723,7.79894200,2.77772500,0,0.00000000,0.00000000,0.00000000
SHITOMASI,BRIEF,1,1759,7.86677900,2.80159800,1148,7.71578100,12.29943227,13.81304836
SHITOMASI,BRIEF,2,1820,7.74594400,2.82223300,1167,8.21307700,12.98777737,13.61725894
SHITOMASI,BRIEF,3,1850,7.70567700,2.87088400,1221,8.63541400,17.26938871,11.09640784
SHITOMASI,BRIEF,4,1828,7.85629300,2.87517200,1210,8.98905300,13.79866612,13.49682507
SHITOMASI,BRIEF,5,1806,7.71139900,2.76206600,1221,8.32440100,12.85564709,12.08029437
SHITOMASI,BRIEF,6,1877,7.63619100,2.82191900,1155,8.30261700,13.34054193,12.43592222
SHITOMASI,BRIEF,7,1894,7.68026900,2.90941200,1190,8.52087200,14.45731022,17.66419334
SHITOMASI,BRIEF,8,1889,7.91803700,2.89284000,1214,8.43951800,13.13016586,11.62925963
SHITOMASI,BRIEF,9,1917,7.68626800,2.85869900,1205,8.60866200,12.34545830,11.27882694
SHITOMASI,BRIEF,10,1874,8.04514600,2.89554000,1187,8.58457400,12.14960324,12.08828776
SHITOMASI,BRIEF,11,1912,7.70471000,2.87116400,1193,8.65173000,11.54790781,12.17943738
SHITOMASI,BRIEF,12,1930,7.74341200,2.86915100,1239,9.16637700,10.07826007,11.02964013
SHITOMASI,BRIEF,13,1881,7.70304200,2.84153600,1250,8.68021300,9.20565887,12.26612354
SHITOMASI,BRIEF,14,1886,7.54233100,3.10370100,1248,8.71456300,9.54236248,11.42603786
SHITOMASI,BRIEF,15,1957,8.16337300,3.14338200,1262,8.99721300,8.39156690,12.36849434
SHITOMASI,BRIEF,16,1888,7.74699500,2.85371800,1281,9.05937100,8.88653053,11.80890738
SHITOMASI,BRIEF,17,1919,7.83686100,3.10815700,1270,9.26367700,11.04299793,10.43208194

SHITOMASI,ORB,0,1723,7.63722300,4.07831600,0,0.00000000,0.00000000,0.00000000
SHITOMASI,ORB,1,1759,7.55720300,3.39844400,1032,7.59469600,12.29943227,12.79511150
